area,deal_date,district,housing_estate,total_price,unit_price
58.12,2020.10.14,浦东,新德五村,206,35444
101,2020.10.14,浦东,锦博苑,643,63664
31.7,2020.10.14,浦东,梅园新村(浦东),435,137224
61.67,2020.10.14,浦东,丽泽荷亭苑,119,19297
33.45,2020.10.14,浦东,蓝村小区,182,54410
43.47,2020.10.14,杨浦,凤城三村,202,46469
42.3,2020.10.13,杨浦,延吉东路130弄,209,49409
103.8,2020.10.13,杨浦,香阁丽苑,930,89596
38.48,2020.10.13,杨浦,民星一村,182,47298
33.8,2020.10.13,杨浦,铁岭路50弄,265,78403
34.28,2020.10.13,杨浦,长阳路1900弄,172,50176
62.24,2020.10.13,长宁,春天花园,540,86761
220.76,2020.10.13,长宁,汤臣怡园,2965,134309
126.27,2020.10.13,长宁,强生古北花园,1238,98044
55.27,2020.10.13,长宁,绿园五村,262,47332
91.26,2020.10.13,长宁,御翠豪庭,888,97305
114.93,2020.10.12,长宁,巴黎花园,790,68738
94.45,2020.10.14,宝山,远东君悦庭,560,59291
85.59,2020.10.14,宝山,罗南二村,218,25471
156.27,2020.10.13,宝山,万科琥珀臻园,688,44027
96.09,2020.10.13,宝山,共富一村,340,35332
80.28,2020.10.13,宝山,通河七村,301,37494
108.57,2020.10.13,松江,九城湖滨国际,465,42830
89.62,2020.10.13,松江,河谷3号,532,59362
54.65,2020.10.13,松江,奥林匹克花园,253,46204
122.9,2020.10.13,松江,奥林匹克花园,455,37022
61,2020.10.13,松江,德邑小城(公寓),239,39099
135.72,2020.10.13,徐汇,鸿艺豪苑,1475,108680
53.82,2020.10.13,徐汇,龙山新村,365,67819
40.03,2020.10.13,徐汇,长桥一村,410,102424
54.93,2020.10.13,徐汇,茶陵路159弄,411,74823
68.86,2020.10.13,徐汇,滨江小区,390,56637
42.74,2020.10.14,闵行,民主新村,375,87623
41.93,2020.10.14,闵行,龙柏二村,195,46507
92.68,2020.10.14,闵行,万顺水原墅(公寓),284,30644
81.3,2020.10.14,闵行,白雪公主,555,68266
71.99,2020.10.14,闵行,金硕河畔景园西区,237,32838
66.14,2020.10.14,闵行,平南一二村,442,66828
120.36,2020.10.12,杨浦,佳龙花园,1060,88070
53.11,2020.10.12,杨浦,眉州路420弄,320,60253
140.89,2020.10.12,杨浦,合生江湾国际公寓,1250,88722
70.26,2020.10.12,杨浦,长海一村,385,54797
32.43,2020.10.12,杨浦,国顺路389弄,208,64139
81,2020.10.12,杨浦,南茶园,582,71852
35,2020.10.12,长宁,新泾三村,192,54858
80.45,2020.10.12,长宁,海富公寓,590,73338
30.95,2020.10.12,长宁,仙逸小区,171,55251
35.64,2020.10.12,长宁,兴国路244弄49支弄,400,112234
56.14,2020.10.12,长宁,剑河家苑,317,56466
163.44,2020.10.12,长宁,番禺大厦,763,46684
155.17,2020.10.13,宝山,锦秋花园,785,50590
83.49,2020.10.13,宝山,共富三村,348,41682
116.04,2020.10.12,宝山,象屿郦庭,654,56360
131.54,2020.10.12,宝山,圣卡洛铂庭,440,33450
60.02,2020.10.12,宝山,德都路165弄,187,31157
42.19,2020.10.12,宝山,通河二村,191,45272
68.41,2020.10.12,宝山,环绿国际,235,34352
65.86,2020.10.13,松江,维罗纳贵都,235,35682
59.91,2020.10.13,松江,同润菲诗艾伦,171,28460
131.44,2020.10.12,松江,绿地蔷薇九里(公寓),530,40323
127.85,2020.10.12,松江,星辰园(公寓),467,36496
85.25,2020.10.12,松江,英伦风尚(公寓),355,41643
67,2020.10.12,松江,塘和家园德悦苑,180,26792
59.7,2020.10.12,松江,保利西子湾,268,44892
59.87,2020.10.13,徐汇,长春小区,387,64621
47.5,2020.10.13,徐汇,长春小区,327,68843
43.08,2020.10.12,徐汇,梅陇六村,212,49211
147.44,2020.10.12,徐汇,宏润花园,1500,101737
68.51,2020.10.12,徐汇,凌云新村,357,52037
53.31,2020.10.12,徐汇,乌中小区,435,81599
98.64,2020.10.14,闵行,君莲新城中城苑,455,46128
126.7,2020.10.14,闵行,万顺苑,402,31729
49.75,2020.10.14,闵行,蔷薇新村,205,41207
78.13,2020.10.14,闵行,海联花苑,520,66556
71.99,2020.10.13,闵行,静安新城四区,360,50007
101.87,2020.10.13,闵行,平阳绿家园,545,53500
87.77,2020.10.12,杨浦,广杭苑,555,63234
53.06,2020.10.12,杨浦,鞍山八村,372,70110
50,2020.10.12,杨浦,鞍山四村第三小区,306,61200
36.63,2020.10.12,杨浦,市京一村,198,54055
40.76,2020.10.12,杨浦,三门路510弄,212,52012
64.1,2020.10.12,杨浦,南茶园,430,67005
38.71,2020.10.12,长宁,三泾南宅,266,68717
50.69,2020.10.11,长宁,新泾一村,278,54844
56.4,2020.10.11,长宁,定西路1235弄,410,72696
29.62,2020.10.11,长宁,化工小区(长宁),229,77313
243.57,2020.10.11,长宁,中星美华邨(公寓),1670,68564
85.32,2020.10.11,长宁,金马公寓,650,76184
84.05,2020.10.12,宝山,美兰湖颐景园,303,36050
78,2020.10.12,宝山,祁连二村,300,38462
73.8,2020.10.12,宝山,馨佳园(菊盛路851弄),300,40651
91,2020.10.12,宝山,康桥水都(公寓),348,38242
44.18,2020.10.12,宝山,永清新村,163,36850
53.93,2020.10.12,宝山,乐业一村,178,33006
48.74,2020.10.12,宝山,月浦三村,145,29750
66.43,2020.10.12,松江,塘和家园登云苑,180,27097
101.61,2020.10.12,松江,金丰蓝庭,405,39859
82.74,2020.10.12,松江,新虹桥首府(公寓),361,43631
57,2020.10.12,松江,三湘四季花城,283,49650
206.86,2020.10.12,松江,复地香堤苑,712,34405
73.94,2020.10.12,松江,公捷苑,230,31039
47.79,2020.10.12,徐汇,轻工大楼,312,65286
34.26,2020.10.12,徐汇,东安五村,262,76475
69.08,2020.10.12,徐汇,滨江小区,418,60510
96.49,2020.10.12,徐汇,薛家宅小区,608,63012
66.33,2020.10.12,徐汇,上缝小区,380,57290
43.66,2020.10.13,闵行,蒲汇新村,378,86579
74.09,2020.10.11,杨浦,长海一村,384,51829
29.99,2020.10.11,杨浦,国年路65弄,202,67356
36.41,2020.10.11,杨浦,控江二村107弄小区,158,43395
36.65,2020.10.11,杨浦,市光四村,175,47749
49.49,2020.10.11,杨浦,申泉小区,340,68701
45.21,2020.10.11,长宁,水霞小区,326,72108
48.48,2020.10.11,长宁,虹纺小区,307,63326
74.91,2020.10.11,长宁,天山星城,633,84502
52.18,2020.10.11,长宁,和平小区(长宁),353,67651
178,2020.10.12,宝山,文华苑(宝山),808,45394
79.88,2020.10.12,宝山,九英里,359,44943
45.6,2020.10.11,宝山,高境一村,196,42983
87.64,2020.10.11,宝山,宝宸怡景园,570,65039
46.03,2020.10.12,徐汇,龙山新村,338,73431
57.56,2020.10.12,徐汇,百龙小区,399,69319
39.75,2020.10.12,徐汇,天钥新村,295,74114
168.8,2020.10.12,徐汇,百汇园,1800,106636
76.1,2020.10.11,徐汇,花苑村玉兰园,473,62156
50.28,2020.10.11,徐汇,田林十一村,378,75179
57.55,2020.10.14,嘉定,江桥二村,212,36838
86.58,2020.10.14,嘉定,绿地颐景嘉园,430,49666
69.08,2020.10.14,嘉定,森林公馆,289,41836
79,2020.10.14,嘉定,路劲上海派,262,33165
64.34,2020.10.14,嘉定,嘉善坊,255,39556
88.43,2020.10.13,嘉定,盘古天地,332,37544
84.33,2020.10.13,嘉定,宁兴上尚湾,434,51465
76.59,2020.10.13,嘉定,金鹤新城双佳翠庭,277,36167
75.27,2020.10.13,嘉定,江桥二村,269,35739
61.18,2020.10.12,嘉定,丰庄十二街坊,289,47238
71.48,2020.10.12,嘉定,德华一村,277,38753
74.5,2020.10.12,嘉定,水岸金桥苑,300,40269
